# eta   f(eta)   f'(eta)
3.84 2.15375 0.94426
3.85 2.1632 0.945024
3.86 2.17265 0.945779
3.87 2.18211 0.946526
3.88 2.19158 0.947265
3.89 2.20106 0.947996
3.9 2.21054 0.94872
3.91 2.22003 0.949435
3.92 2.22953 0.950142
3.93 2.23903 0.950841
3.94 2.24854 0.951533
3.95 2.25806 0.952217
3.96 2.26759 0.952893
3.97 2.27712 0.953562
3.98 2.28666 0.954223
3.99 2.29621 0.954876
4 2.30576 0.955522
4.01 2.31532 0.956161
4.02 2.32488 0.956792
4.03 2.33445 0.957416
4.04 2.34403 0.958033
4.05 2.35361 0.958643
4.06 2.3632 0.959245
4.07 2.3728 0.95984
4.08 2.3824 0.960429
4.09 2.39201 0.96101
4.1 2.40162 0.961585
4.11 2.41124 0.962152
4.12 2.42086 0.962713
4.13 2.43049 0.963267
4.14 2.44013 0.963814
4.15 2.44977 0.964355
4.16 2.45941 0.964889
4.17 2.46907 0.965417
4.18 2.47872 0.965938
4.19 2.48838 0.966453
4.2 2.49805 0.966961
4.21 2.50772 0.967463
4.22 2.5174 0.967959
4.23 2.52708 0.968449
4.24 2.53677 0.968932
4.25 2.54646 0.969409
4.26 2.55616 0.969881
4.27 2.56586 0.970346
4.28 2.57557 0.970805
4.29 2.58528 0.971259
4.3 2.59499 0.971707
4.31 2.60471 0.972149
4.32 2.61443 0.972585
4.33 2.62416 0.973015
4.34 2.63389 0.97344
4.35 2.64363 0.97386
4.36 2.65337 0.974273
4.37 2.66312 0.974682
4.38 2.67286 0.975085
4.39 2.68262 0.975482
4.4 2.69237 0.975875
4.41 2.70213 0.976262
4.42 2.7119 0.976644
4.43 2.72167 0.977021
4.44 2.73144 0.977392
4.45 2.74122 0.977759
4.46 2.75099 0.978121
4.47 2.76078 0.978477
4.48 2.77056 0.978829
4.49 2.78035 0.979176
4.5 2.79015 0.979518
4.51 2.79994 0.979856
4.52 2.80974 0.980188
4.53 2.81955 0.980517
4.54 2.82936 0.98084
4.55 2.83917 0.981159
4.56 2.84898 0.981474
4.57 2.85879 0.981784
4.58 2.86861 0.982089
4.59 2.87844 0.98239
4.6 2.88826 0.982687
4.61 2.89809 0.98298
4.62 2.90792 0.983269
4.63 2.91776 0.983553
4.64 2.92759 0.983833
4.65 2.93743 0.984109
4.66 2.94727 0.984382
4.67 2.95712 0.98465
4.68 2.96697 0.984914
4.69 2.97682 0.985174
4.7 2.98667 0.985431
4.71 2.99653 0.985683
4.72 3.00638 0.985932
4.73 3.01625 0.986177
4.74 3.02611 0.986419
4.75 3.03597 0.986657
4.76 3.04584 0.986891
4.77 3.05571 0.987122
4.78 3.06558 0.987349
4.79 3.07546 0.987573
4.8 3.08534 0.987793
4.81 3.09521 0.98801
4.82 3.1051 0.988224
4.83 3.11498 0.988435
4.84 3.12486 0.988642
4.85 3.13475 0.988846
4.86 3.14464 0.989046
4.87 3.15453 0.989244
4.88 3.16443 0.989439
4.89 3.17432 0.98963
4.9 3.18422 0.989819
4.91 3.19412 0.990004
4.92 3.20402 0.990187
4.93 3.21392 0.990366
4.94 3.22383 0.990543
4.95 3.23373 0.990717
4.96 3.24364 0.990888
4.97 3.25355 0.991057
4.98 3.26346 0.991222
