# eta   f(eta)   f'(eta)
5.04 3.70099 0.995969
5.05 3.71095 0.996053
5.06 3.72091 0.996134
5.07 3.73087 0.996215
5.08 3.74084 0.996293
5.09 3.7508 0.996371
5.1 3.76076 0.996447
5.11 3.77073 0.996521
5.12 3.78069 0.996594
5.13 3.79066 0.996666
5.14 3.80063 0.996736
5.15 3.81059 0.996805
5.16 3.82056 0.996873
5.17 3.83053 0.996939
5.18 3.8405 0.997004
5.19 3.85047 0.997068
5.2 3.86044 0.997131
5.21 3.87041 0.997192
5.22 3.88038 0.997252
5.23 3.89036 0.997311
5.24 3.90033 0.997369
5.25 3.9103 0.997426
5.26 3.92028 0.997482
5.27 3.93025 0.997536
5.28 3.94023 0.99759
5.29 3.9502 0.997642
5.3 3.96018 0.997694
5.31 3.97016 0.997744
5.32 3.98013 0.997794
5.33 3.99011 0.997842
5.34 4.00009 0.99789
5.35 4.01007 0.997936
5.36 4.02005 0.997982
5.37 4.03003 0.998026
5.38 4.04001 0.99807
5.39 4.04999 0.998113
5.4 4.05997 0.998155
5.41 4.06995 0.998196
5.42 4.07993 0.998237
5.43 4.08992 0.998276
5.44 4.0999 0.998315
5.45 4.10988 0.998353
5.46 4.11986 0.99839
5.47 4.12985 0.998426
5.48 4.13983 0.998462
5.49 4.14982 0.998497
5.5 4.1598 0.998531
5.51 4.16979 0.998565
5.52 4.17977 0.998597
5.53 4.18976 0.99863
5.54 4.19975 0.998661
5.55 4.20973 0.998692
5.56 4.21972 0.998722
5.57 4.22971 0.998751
5.58 4.23969 0.99878
5.59 4.24968 0.998809
5.6 4.25967 0.998836
5.61 4.26966 0.998863
5.62 4.27965 0.99889
5.63 4.28964 0.998916
5.64 4.29963 0.998941
5.65 4.30961 0.998966
5.66 4.3196 0.99899
5.67 4.32959 0.999014
5.68 4.33958 0.999037
5.69 4.34957 0.99906
5.7 4.35957 0.999082
5.71 4.36956 0.999104
5.72 4.37955 0.999125
5.73 4.38954 0.999146
5.74 4.39953 0.999167
5.75 4.40952 0.999186
5.76 4.41951 0.999206
5.77 4.42951 0.999225
5.78 4.4395 0.999244
5.79 4.44949 0.999262
5.8 4.45948 0.99928
5.81 4.46948 0.999297
5.82 4.47947 0.999314
5.83 4.48946 0.999331
5.84 4.49945 0.999347
5.85 4.50945 0.999363
5.86 4.51944 0.999379
5.87 4.52944 0.999394
