# eta   f(eta)   f'(eta)
7.07 4.11138 0.99889
7.08 4.12137 0.998917
7.09 4.13136 0.998944
7.1 4.14135 0.998971
7.11 4.15134 0.998997
7.12 4.16133 0.999022
7.13 4.17132 0.999047
7.14 4.18131 0.999071
7.15 4.1913 0.999095
7.16 4.20129 0.999119
7.17 4.21129 0.999142
7.18 4.22128 0.999164
7.19 4.23127 0.999186
7.2 4.24126 0.999207
7.21 4.25125 0.999228
7.22 4.26125 0.999249
7.23 4.27124 0.999269
7.24 4.28123 0.999289
7.25 4.29122 0.999308
7.26 4.30122 0.999327
7.27 4.31121 0.999346
7.28 4.3212 0.999364
7.29 4.3312 0.999381
7.3 4.34119 0.999399
7.31 4.35119 0.999416
7.32 4.36118 0.999432
7.33 4.37117 0.999449
7.34 4.38117 0.999464
7.35 4.39116 0.99948
7.36 4.40116 0.999495
7.37 4.41115 0.99951
7.38 4.42115 0.999525
7.39 4.43114 0.999539
7.4 4.44114 0.999553
7.41 4.45113 0.999566
7.42 4.46113 0.99958
7.43 4.47113 0.999593
7.44 4.48112 0.999605
7.45 4.49112 0.999618
7.46 4.50111 0.99963
7.47 4.51111 0.999642
7.48 4.52111 0.999654
7.49 4.5311 0.999665
7.5 4.5411 0.999676
7.51 4.5511 0.999687
7.52 4.56109 0.999698
7.53 4.57109 0.999708
7.54 4.58109 0.999718
7.55 4.59109 0.999728
7.56 4.60108 0.999738
7.57 4.61108 0.999747
7.58 4.62108 0.999757
7.59 4.63108 0.999766
7.6 4.64107 0.999774
7.61 4.65107 0.999783
7.62 4.66107 0.999792
7.63 4.67107 0.9998
7.64 4.68107 0.999808
7.65 4.69106 0.999816
7.66 4.70106 0.999823
7.67 4.71106 0.999831
7.68 4.72106 0.999838
7.69 4.73106 0.999845
7.7 4.74105 0.999852
7.71 4.75105 0.999859
7.72 4.76105 0.999866
7.73 4.77105 0.999872
7.74 4.78105 0.999879
7.75 4.79105 0.999885
7.76 4.80105 0.999891
7.77 4.81105 0.999897
7.78 4.82105 0.999903
7.79 4.83104 0.999908
7.8 4.84104 0.999914
7.81 4.85104 0.999919
7.82 4.86104 0.999925
7.83 4.87104 0.99993
7.84 4.88104 0.999935
7.85 4.89104 0.99994
7.86 4.90104 0.999944
7.87 4.91104 0.999949
7.88 4.92104 0.999954
7.89 4.93104 0.999958
7.9 4.94104 0.999962
7.91 4.95104 0.999966
7.92 4.96104 0.999971
7.93 4.97104 0.999975
7.94 4.98104 0.999978
7.95 4.99104 0.999982
7.96 5.00104 0.999986
7.97 5.01104 0.99999
7.98 5.02104 0.999993
7.99 5.03104 0.999997
8 5.04104 1
